name,department_name,total_number_of_students,number_of_master_degree_students,number_of_bachelors_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,graduations_in_appropriate_time_masters,teacher_support,support_in_studies,courses_offered,study_organisation,exams,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,bachelors,masters,phds
Universität Stuttgart,Fakultät 10: Wirtschafts- und Sozialwissenschaften at the Uni Stuttgart,560,143,417,,0.872,,,,,,,,,,,,,,,,,0,0,0
Universität Stuttgart,Fakultät 7: Maschinenbau at the Uni Stuttgart,220,110,110,a,0.765,0.621,,,,,,,,,,,,,,,,8,16,0
Universität Stuttgart,Fakultät 9: Philosophisch - Historische Fakultät at the Uni Stuttgart,80,10,70,,0.765,,,,,,,,,,,,,,,,,0,0,0
Universität Stuttgart,Fakultät 10: Wirtschafts- und Sozialwissenschaften at the Uni Stuttgart,330,56,274,c,0.696,,,,,,,,,,,,,,d,e,e,3,2,0
Eberhard Karls Universität Tübingen,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Tübingen,960,230,730,c,0.503,,,2.1,,,,2.3,2.3,2.4,,,,,,,,1,5,0
Eberhard Karls Universität Tübingen,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Tübingen,980,,980,b,0.953,0.898,2.1,1.9,1.9,1.6,1.8,2.3,1.6,2.4,1.7,2,1.7,,,,,2,6,0
Eberhard Karls Universität Tübingen,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Tübingen,620,173,447,b,,,,3.1,,1.8,,,,,,,2.1,,,,,1,1,0
Eberhard Karls Universität Tübingen,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Tübingen,"1,800",362,"1,438",b,0.724,0.537,2.1,2.3,2.2,1.7,2,2.7,2.5,2.1,2,2.4,2.1,d,c,d,e,5,6,0
Eberhard Karls Universität Tübingen,Medizinische Fakultät at the Uni Tübingen,350,,350,c,0.716,,3.1,3,3.9,2.5,3,2.3,5.3,2.5,2.4,2.2,3.1,,,,,0,1,0
Eberhard Karls Universität Tübingen,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Tübingen,460,,460,b,0.983,0.345,2.3,2.1,2.1,1.8,1.8,2.6,1.8,2.5,1.6,2.2,2,,,,,1,4,0
Eberhard Karls Universität Tübingen,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Tübingen,900,320,580,,,0.807,,,,,,,,,,,,,,e,d,1,6,0
Eberhard Karls Universität Tübingen,Philosophische Fakultät at the Uni Tübingen,670,200,470,,0.574,0.667,2.2,2.7,2.2,2.6,2.5,3.6,2.2,3.1,2,2.3,2.5,,,,,0,0,0
Eberhard Karls Universität Tübingen,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Tübingen,330,105,225,c,0.918,0.526,,,,,,,,,,,,e,e,d,e,1,2,0
Eberhard Karls Universität Tübingen,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Tübingen,760,238,522,b,0.949,0.636,2.2,2.2,2.2,1.6,2.6,2.8,2.1,2.1,1.9,1.9,2,d,b,d,d,3,3,0
