id,name,kind_of_institution_and_funding_body,year_of_foundation,total_number_of_students,students_at_this_campus,semester_contribution,tuition_fees,medicine_health_science,natural_sciences_mathematics,law_economic_and_social_sciences,humanities_languages,engineering_science_incl_computer_science,other_studies,bachelors_degree,masters_degree,teacher_qualification_degree,pre_bologna_degrees,other_types_of_degrees,url,departments,departments_detail
356,Hochschule Ravensburg-Weingarten,"University of applied sciences, public",1964,"3,625","3,625","157,50€",There are no study fees.,1.4%,0.0%,33.0%,0.0%,59.8%,5.8%,82.8%,14.8%,0.0%,0.0%,2.4%,https://ranking.zeit.de/che/en/hochschule/356,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Physical Technology, Social Policy and Social Work","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410526'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410312'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420136'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9104'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410184'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10141?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500322'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430646'}, {'name': 'Physical Technology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500084?subfach=116'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100371'}]"
358,Hochschule Reutlingen,"University of applied sciences, public",1855,"5,482","5,482","167,30€",There are no study fees.,0.0%,8.5%,44.0%,0.0%,41.8%,5.7%,74.5%,22.4%,0.0%,0.0%,3.1%,https://ranking.zeit.de/che/en/hochschule/358,"Business Administration (ESB Business School), Business Administration (Fakultät Textil & Design), Business Informatics, Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät Technik), Industrial Engineering (ESB Business School), Interdisciplinary programmes, Mechanical Engineering, Mechatronics","[{'name': 'Business Administration', 'extra': 'ESB Business School', 'url': 'https://ranking.zeit.de/che/en/fachbereich/101117'}, {'name': 'Business Administration', 'extra': 'Fakultät Textil & Design', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603168'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100337'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500646?subfach=111'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430024'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604306'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät Technik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/602124'}, {'name': 'Industrial Engineering', 'extra': 'ESB Business School', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410302'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10146?subfach=117'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10146?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133589'}]"
364,Hochschule der Medien Stuttgart,"University of applied sciences, public",1903,"5,003","5,003","198,40€",There are no study fees.,0.0%,0.0%,44.8%,5.6%,41.5%,8.1%,84.1%,12.6%,0.0%,0.0%,3.4%,https://ranking.zeit.de/che/en/hochschule/364,"Business Administration, Business Informatics, Computer Science, Industrial Engineering, Process Engineering","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605144'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420560'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420515'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430683'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604314'}]"
366,Hochschule für Technik Stuttgart,"University of applied sciences, public",1832,"3,791","3,791","193,40€",There are no study fees.,0.0%,6.1%,17.3%,0.0%,76.6%,0.0%,80.0%,18.7%,0.0%,0.0%,1.3%,https://ranking.zeit.de/che/en/hochschule/366,"Architecture, Business Administration, Business Informatics, Business Psychology, Civil Engineering, Computer Science, Industrial Engineering, Interdisciplinary programmes","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7059'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410148'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9500581'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605146'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8065?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420190'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/601000'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604391?subfach=117'}]"
368,Hochschule Ulm,"University of applied sciences, public",1960,"3,807","3,807",no data,There are no study fees.,5.2%,4.0%,0.0%,0.0%,88.5%,2.3%,92.1%,7.9%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/368,"Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics","[{'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100440'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420159'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9124'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13016'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133508?subfach=117'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11178?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500288'}]"
370,SRH Hochschule Heidelberg,"University of applied sciences, private",1969,"3,363","3,363",Public transport ticket is not included.,"min. 600,00€",9.3%,0.0%,64.9%,0.0%,21.5%,4.3%,71.3%,28.7%,0.0%,0.0%,0.0%,https://ranking.zeit.de/che/en/hochschule/370,"Architecture, Business Administration, Business Informatics, Business Psychology, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Social Policy and Social Work","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7042'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100189'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500640'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605226'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600790?subfach=104'}, {'name': 'Commercial / Business Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1430616'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400237'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9132'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133415'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10077?subfach=109'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100369'}]"
384,Evangelische Hochschule Freiburg,"University of applied sciences, churchly",1972,920,920,"124,00€","min. 280,00€",0.0%,0.0%,89.6%,10.4%,0.0%,0.0%,83.5%,14.2%,0.0%,0.0%,2.3%,https://ranking.zeit.de/che/en/hochschule/384,Social Policy and Social Work,"[{'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100415'}]"
387,Katholische Hochschule Freiburg,"University of applied sciences, churchly",1918,"1,781","1,718","32,30€","min. 280,00€",23.9%,0.0%,72.5%,3.6%,0.0%,0.0%,93.7%,6.2%,0.0%,0.0%,0.1%,https://ranking.zeit.de/che/en/hochschule/387,"Nursing Science, Social Policy and Social Work","[{'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491086'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100391'}]"
389,Ostbayerische Technische Hochschule Amberg-Weiden,"University of applied sciences, public",1994,"3,098","1,622","48,00€",There are no study fees.,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,89.1%,10.7%,0.0%,0.0%,0.1%,https://ranking.zeit.de/che/en/hochschule/389,"Computer Science, Electrical / Information Engineering, Energy Systems, Environmental Engineering, Materials Science / Engineering, Mechanical Engineering","[{'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420194'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9001'}, {'name': 'Energy Systems', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/431029?subfach=115'}, {'name': 'Environmental Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/431029?subfach=107'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100777?subfach=108'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100777?subfach=109'}]"
390,Hochschule für angewandte Wissenschaften Ansbach,"University of applied sciences, public",1996,"2,984","2,984","42,00€",There are no study fees.,1.4%,4.4%,58.6%,0.0%,35.7%,0.0%,90.0%,8.2%,0.0%,0.0%,1.7%,https://ranking.zeit.de/che/en/hochschule/390,"Biotechnology, Business Administration, Business Informatics, Energy Systems, Industrial Engineering","[{'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500483?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100186'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100408'}, {'name': 'Energy Systems', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500483?subfach=115'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13022'}]"
391,Hochschule für angewandte Wissenschaften Augsburg,"University of applied sciences, public",1710,"6,558","6,558","114,85€",There are no study fees.,0.0%,0.0%,24.9%,0.0%,69.7%,5.4%,80.6%,16.8%,0.0%,0.0%,2.6%,https://ranking.zeit.de/che/en/hochschule/391,"Architecture, Business Administration, Business Informatics, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät für Geistes- und Naturwissenschaften), Industrial Engineering (Fakultät für Wirtschaft), Mechanical Engineering, Mechatronics, Process Engineering, Social Policy and Social Work","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7039'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100008'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100423'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8009?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400239'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9012'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät für Geistes- und Naturwissenschaften', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600756'}, {'name': 'Industrial Engineering', 'extra': 'Fakultät für Wirtschaft', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603052'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10035?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500289'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500702'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605032'}]"
392,Hochschule für angewandte Wissenschaften Coburg,"University of applied sciences, public",1812,"5,465","5,465","104,54€",There are no study fees.,3.7%,4.9%,39.6%,0.0%,48.2%,3.6%,82.9%,16.6%,0.0%,0.0%,0.5%,https://ranking.zeit.de/che/en/hochschule/392,"Architecture, Biotechnology, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Physical Technology, Social Policy and Social Work","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7009'}, {'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500590?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100067'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8018?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420232'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9021'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500590?subfach=117'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10043?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604254'}, {'name': 'Physical Technology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500590?subfach=116'}, {'name': 'Social Policy and Social Work', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100373'}]"
393,Technische Hochschule Deggendorf,"University of applied sciences, public",1994,"7,230","6,454",no data,There are no study fees.,5.9%,0.0%,28.5%,0.0%,61.3%,4.2%,81.9%,15.2%,0.0%,0.0%,2.8%,https://ranking.zeit.de/che/en/hochschule/393,"Business Administration, Business Informatics, Business Psychology, Civil Engineering, Computer Science (Fakultät Elektrotechnik, Medientechnik und Informatik), Computer Science (Fakultät Angewandte Gesundheitswissenschaften), Economics, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Physical Technology","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100009'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100297'}, {'name': 'Business Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/605192'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8022?subfach=104'}, {'name': 'Computer Science', 'extra': 'Fakultät Elektrotechnik, Medientechnik und Informatik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604121'}, {'name': 'Computer Science', 'extra': 'Fakultät Angewandte Gesundheitswissenschaften', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604122'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603126'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9032'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8022?subfach=118'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9500619'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10047?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500290'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491081'}, {'name': 'Physical Technology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600839?subfach=116'}]"
