name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Ruprecht-Karls-Universität Heidelberg,Fakultät für Wirtschafts- und Sozialwissenschaften at the Uni Heidelberg,Economics (M.Sc.),4 semesters,120,171,55,59,0.364,66,34,0.34,,,,,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,"Education Science (Two-Subject-B.A., 50%, first major)",6 semesters,96,181,12,50,0.576,,,0.04,,,,,e,b,c,e,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,Education Science with Key Area Organisational Development (M.A.),4 semesters,120,87,18,12,,,,0.02,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,Education Science (B.A. major 75%),6 semesters,145,,0,,,,,,,,,,e,b,c,e,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,"Education Science (B.A., two subject, 50%, secondary major)",6 semesters,84,32,7,10,,,,0.12,,,,,e,b,c,e,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,"English Studies/English Language and Literature (B.A., interdisciplinary)",6 semesters,180,584,222,18,0.686,,,0.03,d,b,a,c,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,"English Studies (B.A., 75%)",6 semesters,,162,50,21,0.714,,,0.16,d,a,a,b,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,English Studies (M.A.),4 semesters,120,135,30,10,,,,0.53,d,a,a,b,,,,,master
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Geography (B.Sc.),6 semesters,180,248,50,46,0.815,49,51,0.05,d,b,c,d,c,a,a,c,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Geography (M.Sc.),4 semesters,120,136,37,32,0.188,51,49,0.07,d,b,c,d,e,b,a,c,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Geosciences (B.Sc.),6 semesters,180,83,33,24,0.958,51,49,0.02,d,c,d,e,e,b,c,d,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,Geosciences (M.Sc.),4 semesters,120,68,22,12,0.739,68,32,0.04,d,c,d,e,e,b,c,d,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,"German Studies (B.A., interdisciplinary)",6 semesters,84,502,204,,,,,0.03,d,a,d,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,"German Studies (B.A., dual subject)",6 semesters,180,80,25,29,0.621,,,0.05,d,a,d,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,German Language and Literature (M.A.),4 semesters,120,54,17,10,,,,0.22,b,a,d,c,,,,,master
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,Editorial Science and Text Criticism (M.A.),4 semesters,120,14,3,10,,,,0,d,a,d,d,,,,,master
Ruprecht-Karls-Universität Heidelberg,Juristische Fakultät at the Uni Heidelberg,Law (St),9 semesters,,"2,285",391,,,41,59,,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Juristische Fakultät at the Uni Heidelberg,Postgraduate course for lawyers who graduated outside Germany (LL.M.),2 semesters,60,37,15,,,65,35,,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Juristische Fakultät at the Uni Heidelberg,Postgraduate course for International Law (LL.M.),2 semesters,60,23,22,,,57,43,,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Juristische Fakultät at the Uni Heidelberg,Postgraduate course for Corporate Restructuring (LL.M. corp. Restruc.),2 semesters,60,37,11,,,78,22,,,,,,,,,,master
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,Mathematics (B.Sc.),6 semesters,180,491,202,52,0.788,65,35,0.08,d,b,d,d,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,Mathematics (M.Sc.),4 semesters,120,115,32,29,0.5,77,23,0.1,d,a,b,c,,,,,bachelor
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,Scientific Computing (M.Sc.),4 semesters,120,85,20,10,,67,33,0.73,d,a,a,b,,,,,bachelor
